,citiname,Latitude,Longitude,Temperature,WindSpeed,Cloudiess,Humidity
248,nobres,-14.72,-56.34,78.88,2.48,12.0,88.0
249,bonthe,7.53,-12.5,77.17,3.27,20.0,93.0
250,kadoma,-18.34,29.91,64.84,5.73,24.0,67.0
251,saint-junien,45.89,0.9,42.8,6.93,75.0,93.0
252,port lincoln,-34.72,135.86,75.78,10.04,0.0,70.0
253,sai buri,6.7,101.62,77.35,4.9,88.0,89.0
254,pallasovka,50.04,46.89,26.59,17.65,92.0,90.0
257,conde,-11.81,-37.61,80.82,13.18,0.0,88.0
259,liku,-0.73,119.89,79.38,3.0,12.0,93.0
260,yellowknife,62.45,-114.38,12.2,5.82,40.0,66.0
262,cayhagan,9.67,122.43,82.48,12.39,0.0,88.0
263,whitehorse,60.72,-135.06,21.2,18.34,75.0,67.0
265,deep river,46.1,-77.49,32.0,6.93,90.0,69.0
266,wonthaggi,-38.6,145.59,72.22,2.59,0.0,70.0
268,mocuba,-16.84,36.99,74.7,3.33,88.0,96.0
269,arica,-18.48,-70.32,75.2,8.05,0.0,56.0
270,bartica,6.41,-58.62,76.99,4.9,92.0,87.0
271,iracoubo,5.48,-53.21,79.24,6.85,92.0,74.0
272,san cristobal,-0.39,-78.55,62.6,20.8,75.0,63.0
273,mehamn,71.03,27.85,15.8,16.11,0.0,65.0
274,kharp,66.82,65.8,19.17,15.68,80.0,93.0
275,bubaque,11.28,-15.83,75.2,12.75,0.0,73.0
276,verkhnevilyuysk,63.45,120.31,-21.65,2.21,8.0,64.0
277,sabla,12.75,4.71,72.49,2.77,0.0,63.0
278,atikokan,48.76,-91.62,19.84,5.23,88.0,68.0
282,polunochnoye,60.87,60.43,12.6,14.07,64.0,65.0
283,okitipupa,6.5,4.78,78.16,3.83,20.0,89.0
284,jiwani,25.05,61.74,61.2,4.05,0.0,95.0
285,san jose,15.79,120.99,74.97,2.77,64.0,88.0
286,beatrice,40.27,-96.75,42.8,18.34,40.0,33.0
287,abha,18.22,42.5,62.6,3.49,0.0,87.0
288,bemidji,47.48,-94.89,26.6,10.29,1.0,53.0
289,pionerskiy,61.2,62.86,9.18,9.64,56.0,55.0
291,kasempa,-13.46,25.83,63.13,2.37,32.0,90.0
292,fenoarivo,-18.93,47.44,66.2,2.89,75.0,93.0
293,umea,63.83,20.26,14.0,4.7,0.0,78.0
294,bealanana,-14.54,48.75,65.11,2.21,92.0,99.0
295,vista hermosa,17.8,-97.76,71.86,6.51,64.0,38.0
296,rundu,-17.91,19.77,68.08,3.6,20.0,80.0
297,nuevitas,21.55,-77.27,87.8,4.7,0.0,27.0
298,senneterre,48.39,-77.24,30.2,8.05,90.0,86.0
299,bondo,3.81,23.69,75.01,1.88,24.0,87.0
300,burley,42.54,-113.79,42.8,16.11,1.0,56.0
301,svetlogorsk,53.14,59.15,3.2,11.18,0.0,59.0
302,hwange,-18.35,26.5,64.48,3.27,0.0,89.0
303,kukuna,8.64,-12.57,77.4,4.0,12.0,82.0
304,tulsipur,27.53,82.41,58.9,3.49,32.0,68.0
305,suhbaatar,50.23,106.21,-2.66,5.39,0.0,56.0
306,uvalde,29.21,-99.79,69.8,10.29,1.0,16.0
307,sovetskiy,56.76,48.47,-5.09,2.55,24.0,55.0
308,kafanchan,9.58,8.3,66.37,4.34,0.0,64.0
309,ilulissat,69.22,-51.1,5.0,13.87,64.0,77.0
310,ishigaki,24.34,124.16,66.2,12.75,75.0,93.0
312,dzaoudzi,-12.79,45.27,80.6,10.29,44.0,83.0
313,kalabo,-15.0,22.67,69.16,3.22,0.0,66.0
314,jaunpur,25.75,82.69,61.87,3.0,0.0,64.0
315,fuxin,42.02,121.65,10.93,9.26,0.0,66.0
316,chicama,-7.84,-79.15,69.8,13.87,20.0,83.0
317,carballo,43.21,-8.69,50.0,2.24,0.0,66.0
318,nantai,36.41,105.98,18.49,4.27,0.0,70.0
319,ninh binh,20.25,105.97,57.55,16.31,92.0,100.0
320,sitka,37.17,-99.65,53.77,3.89,0.0,35.0
321,andi,28.97,119.64,42.88,3.04,92.0,100.0
322,wenling,28.38,121.38,47.88,16.8,76.0,99.0
323,luena,-11.78,19.91,60.34,3.22,12.0,78.0
324,mezen,65.85,44.24,15.12,7.07,76.0,82.0
325,lukulu,-14.38,23.24,68.98,3.0,12.0,70.0
326,hilo,19.71,-155.08,75.2,11.41,90.0,69.0
327,hailar,49.2,119.7,-15.49,3.0,12.0,43.0
328,corning,42.14,-77.05,35.6,4.7,90.0,93.0
329,sao filipe,14.9,-24.5,70.33,14.56,0.0,98.0
330,parabel,58.71,81.5,8.86,10.94,12.0,64.0
331,bandarbeyla,9.49,50.81,76.81,12.77,0.0,100.0
332,bosobolo,4.19,19.88,72.58,3.27,12.0,85.0
333,sangar,63.92,127.47,-25.84,3.49,20.0,39.0
334,bali chak,22.37,87.55,61.15,2.89,0.0,81.0
335,otukpo,7.19,8.13,76.05,10.83,12.0,89.0
336,tuktoyaktuk,69.44,-133.03,19.4,6.93,90.0,85.0
337,abonnema,4.71,6.79,74.83,4.27,80.0,93.0
338,batticaloa,7.71,81.69,79.15,5.91,92.0,100.0
339,kirakira,-10.46,161.92,82.3,8.3,48.0,100.0
340,sidhi,24.41,81.88,65.97,2.71,68.0,48.0
342,jamui,24.93,86.23,53.82,2.77,0.0,78.0
344,arlit,18.74,7.39,65.83,6.4,0.0,27.0
345,teguise,29.06,-13.56,64.4,3.36,20.0,82.0
346,khash,28.22,61.21,34.92,2.1,0.0,48.0
347,maragogipe,-12.78,-38.92,82.4,12.75,20.0,83.0
348,thai binh,20.45,106.33,57.55,16.31,92.0,100.0
349,ivdel,60.7,60.42,12.6,14.07,64.0,65.0
351,dudinka,69.41,86.18,6.88,8.37,92.0,70.0
352,langxiang,46.95,128.87,4.36,2.89,24.0,59.0
353,puerto ayora,-0.74,-90.35,84.2,12.75,20.0,70.0
354,genhe,50.78,121.52,-18.41,2.82,0.0,48.0
355,nizhniy kuranakh,58.84,125.49,-10.4,2.71,32.0,68.0
356,ladario,40.7,-7.74,41.62,3.56,92.0,98.0
357,dubuque,42.5,-90.66,30.2,10.29,90.0,68.0
358,vanino,53.93,40.55,20.52,11.83,88.0,89.0
359,wasilla,61.58,-149.44,30.2,2.59,90.0,92.0
360,jatai,28.97,76.18,54.49,2.71,0.0,81.0
361,ous,60.91,61.52,10.21,10.04,68.0,53.0
362,paso de carrasco,-34.86,-56.05,71.6,3.36,0.0,53.0
363,ferme-neuve,46.7,-75.45,26.59,6.62,36.0,68.0
364,alyangula,-13.85,136.42,84.64,14.56,12.0,100.0
365,fort madison,40.63,-91.32,33.8,12.75,90.0,71.0
366,sioni,41.99,45.02,46.4,8.05,0.0,75.0
367,simga,21.63,81.7,69.34,3.89,76.0,64.0
368,aleksandrov gay,50.14,48.57,20.74,15.86,92.0,90.0
369,nova ushytsya,48.84,27.27,34.15,8.37,88.0,95.0
370,prado,-17.34,-39.22,81.49,14.67,0.0,94.0
371,petropavlovsk-kamchatskiy,53.05,158.65,15.8,8.95,75.0,47.0
372,clive,41.61,-93.78,30.2,12.75,90.0,79.0
375,simbahan,6.3,120.58,82.17,14.79,8.0,100.0
376,wamba,2.14,27.99,70.78,2.21,24.0,84.0
377,orocue,4.79,-71.34,85.95,12.06,12.0,56.0
378,kaitangata,-46.28,169.85,59.22,4.5,8.0,84.0
379,busteni,45.4,25.53,29.56,2.89,8.0,92.0
380,thompson,55.74,-97.86,23.0,4.7,75.0,57.0
381,rosignol,6.28,-57.53,79.65,9.31,92.0,77.0
382,geraldton,49.72,-86.95,23.0,8.05,90.0,85.0
383,huadian,42.97,126.75,6.03,3.6,8.0,79.0
384,west wendover,40.74,-114.07,42.8,5.82,1.0,35.0
386,astrea,9.5,-73.98,81.04,2.71,20.0,80.0
387,karasjok,69.47,25.52,-2.21,3.36,20.0,84.0
388,erdaojiang,41.78,126.03,9.4,4.12,44.0,80.0
389,mulchen,-37.72,-72.23,64.75,3.27,0.0,70.0
390,purwa,26.46,80.77,59.0,2.77,92.0,82.0
392,riyadh,24.63,46.72,68.0,2.24,0.0,19.0
393,san patricio,-26.98,-56.83,70.42,4.27,0.0,61.0
394,derzhavinsk,51.1,66.31,3.19,10.54,0.0,73.0
396,akhalgori,42.13,44.48,46.4,8.05,0.0,75.0
397,santa ana,13.99,-89.56,87.8,9.17,40.0,58.0
399,baculin,7.45,126.58,78.52,8.75,56.0,98.0
400,bambanglipuro,-7.95,110.28,74.56,3.89,76.0,97.0
401,khuzdar,27.8,66.62,43.6,1.88,0.0,48.0
402,banes,20.96,-75.72,87.8,2.24,20.0,33.0
403,sitges,41.24,1.82,53.6,6.93,20.0,58.0
404,murray bridge,-35.12,139.28,71.77,7.14,0.0,79.0
405,gadoros,46.67,20.6,33.8,2.24,90.0,100.0
407,ust-omchug,61.13,149.63,-12.92,3.49,12.0,73.0
408,santa vitoria do palmar,-33.52,-53.37,64.17,8.59,0.0,74.0
409,zyryanovsk,49.74,84.27,18.94,2.82,68.0,81.0
410,dongsheng,29.72,112.52,36.18,2.89,44.0,85.0
411,kununurra,-15.77,128.74,77.0,4.56,0.0,88.0
412,ixtapa,20.71,-105.21,75.2,9.17,5.0,78.0
413,molteno,-31.4,26.36,53.55,2.55,80.0,99.0
414,zhangye,38.94,100.46,23.35,9.64,0.0,59.0
416,mogadishu,2.04,45.34,80.73,23.73,32.0,98.0
417,kharabali,47.41,47.25,32.44,16.2,80.0,95.0
419,cape town,-33.93,18.42,64.4,10.29,20.0,68.0
420,norsup,-16.07,167.38,81.22,15.46,80.0,97.0
421,myaundzha,63.05,147.18,-5.14,1.99,56.0,62.0
422,arenzano,44.4,8.68,48.2,2.24,0.0,70.0
423,betong,5.77,101.07,70.96,2.37,64.0,95.0
424,santa vitoria,-7.82,-67.03,76.27,3.0,88.0,92.0
425,fayaoue,-20.65,166.53,81.4,14.79,80.0,100.0
426,trairi,-3.28,-39.27,81.13,8.3,88.0,100.0
427,hofn,64.25,-15.21,32.62,17.81,44.0,100.0
428,andra,62.52,65.89,8.37,10.38,64.0,72.0
429,pitsunda,43.16,40.34,53.6,15.66,90.0,93.0
431,estelle,32.87,-97.01,60.8,6.93,1.0,26.0
432,asbury park,33.46,-86.74,51.8,5.82,1.0,45.0
433,adra,23.5,86.68,56.43,1.7,0.0,72.0
434,kaohsiung,22.62,120.31,68.0,3.36,75.0,77.0
436,hobyo,5.35,48.53,77.4,17.69,0.0,80.0
437,la seyne-sur-mer,43.1,5.88,51.8,10.29,0.0,50.0
438,gelemso,8.81,40.52,42.79,2.48,0.0,81.0
439,tacoronte,28.48,-16.41,66.2,9.17,75.0,87.0
440,george,6.63,3.35,80.6,4.7,20.0,88.0
441,mutis,6.23,-77.4,78.97,7.02,8.0,99.0
442,sarangani,5.4,125.46,83.56,8.75,0.0,96.0
443,christchurch,-43.53,172.64,62.6,3.36,68.0,55.0
444,nuuk,64.17,-51.74,14.0,5.82,90.0,85.0
445,yaring,6.87,101.37,77.35,4.9,88.0,89.0
446,stawell,-37.06,142.77,73.48,3.89,0.0,71.0
447,barrow,-38.31,-60.23,72.22,9.04,0.0,31.0
448,gwadar,25.12,62.33,61.69,4.34,0.0,100.0
449,vilhena,-12.74,-60.15,77.0,5.82,40.0,78.0
450,arys,42.43,68.8,35.6,4.47,0.0,93.0
451,port lavaca,28.61,-96.63,68.0,8.05,1.0,20.0
452,kamenka,53.19,44.05,17.77,11.83,92.0,90.0
453,bose,45.46,8.01,41.0,4.7,0.0,93.0
455,madimba,4.42,9.93,77.0,4.7,75.0,94.0
456,mitsamiouli,-11.38,43.28,75.2,4.7,40.0,94.0
457,sipoo,60.38,25.27,14.0,9.17,0.0,78.0
458,kluang,2.04,103.32,73.4,4.72,75.0,100.0
459,svarychiv,48.96,24.19,34.38,10.6,20.0,88.0
461,punta arenas,-53.16,-70.91,53.6,9.17,0.0,58.0
462,plettenberg bay,-34.05,23.37,66.64,13.78,88.0,100.0
463,krasnyy chikoy,50.36,108.75,-5.09,2.1,0.0,49.0
464,ancud,-41.87,-73.83,60.79,4.12,0.0,93.0
465,galveston,40.58,-86.19,33.8,11.41,90.0,71.0
466,mount isa,-20.73,139.49,73.4,10.29,75.0,100.0
467,tomohon,1.33,124.84,75.2,2.24,20.0,94.0
468,lingao,19.91,109.69,63.18,10.83,92.0,100.0
469,robertsport,6.75,-11.37,76.18,3.0,12.0,100.0
470,manado,1.49,124.85,75.2,2.24,20.0,94.0
471,gopalganj,23.01,89.83,59.8,4.12,0.0,75.0
472,saskylakh,71.97,114.09,-32.81,6.58,0.0,58.0
473,mumbwa,-14.99,27.06,63.0,3.04,24.0,92.0
475,encs,48.33,21.12,26.05,2.21,20.0,88.0
476,pangnirtung,66.15,-65.72,-9.41,3.36,20.0,76.0
477,mana,43.52,20.24,39.2,2.24,0.0,93.0
481,kathmandu,27.71,85.32,51.8,3.36,20.0,87.0
482,santa barbara,34.42,-119.7,71.6,5.82,90.0,12.0
483,drochia,48.03,27.81,34.42,8.37,64.0,94.0
484,jaumave,23.41,-99.38,69.8,6.93,75.0,37.0
485,khatanga,71.98,102.47,-20.44,11.54,0.0,60.0
486,soto la marina,23.77,-98.21,59.44,5.79,80.0,85.0
487,issoire,45.54,3.25,39.2,3.36,20.0,89.0
488,concordia,-31.4,-58.02,69.97,7.74,0.0,52.0
489,namibe,-15.19,12.15,74.7,6.8,20.0,100.0
490,aklavik,68.22,-135.01,17.6,3.36,75.0,72.0
491,randolph,41.67,-111.18,39.2,4.7,1.0,32.0
492,ostrovnoy,68.05,39.51,6.57,10.83,64.0,78.0
493,kaili,-3.46,120.21,74.74,2.71,44.0,87.0
494,mazagao,-0.12,-51.29,84.2,11.41,0.0,70.0
495,elliot,-31.33,27.85,53.32,2.77,44.0,98.0
496,hermanus,-34.42,19.24,56.65,1.99,32.0,100.0
497,merritt island,28.54,-80.67,75.2,16.11,1.0,21.0
498,banda aceh,5.56,95.32,73.8,3.0,36.0,100.0
499,rochester,44.02,-92.46,28.4,12.75,75.0,67.0
